CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CD * AS31   SCHLEICHER          ASH-31Mi                 DIMO__  Y    /
CD * ASTO   TECNAM              Astore                   C162__  Y    /
CD * ASTR   IAI                 1125 Astra               G150__  Y    /
CD * AT2P   AIR TRACTOR         AT-250                   C188__  Y    /
CD * AT3    AIDC                AT-3 Tzu-Chung           AJET__  Y    /
CD * AT3P   AIR TRACTOR         AT-300/301/401           C188__  Y    /
CD * AT3T   AIR TRACTOR         AT-302/400/402           P750__  Y    /
CD - AT43   ATR                 42-300                   AT43__  Y    /
CD * AT44   ATR                 42-400                   AT45__  Y    /
CD - AT45   ATR                 42-500                   AT45__  Y    /
CD * AT46   ATR                 42-600                   AT45__  Y    /
CD * AT5T   AIR TRACTOR         AT-502/503/504           P750__  Y    /
CD * AT6T   AIR TRACTOR         AT-602                   C208__  Y    /
CD - AT72   ATR                 72-200                   AT72__  Y    /
CD - AT73   ATR                 72-210                   AT73__  Y    /
CD - AT75   ATR                 72-210A                  AT75__  Y    /
CD - AT76   ATR                 72-212A 600              AT76__  Y    /
CD * AT8T   AIR TRACTOR         AT-802                   AN38__  Y    /
CD * ATL    ROBIN               ATL                      SVNH__  Y    /
CD * ATLA   DASSAULT            Atlantique 2             C160__  Y    /
CD - ATP    BRITISH AEROSPACE   ATP                      ATP___  Y    /
CD * AUJ2   AUSTER              J-2 Arrow                SVNH__  Y    /
CD * AUS3   TAYLORCRAFT         Auster 3                 MAGC__  Y    /
