CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CD * KIS2   TRI-R               KIS TR-1                 EV97__  Y    /
CD * KIS4   TRI-R               KIS TR-4 Cruiser         DA40__  Y    /
CD * KL07   BOLKOW              BO-207                   C172__  Y    /
CD * KL10   FLIGHT DESIGN-VESSE KLA-100                  C162__  Y    /
CD * KL25   KLEMM               L-25                     SF25__  Y    /
CD * KL35   KLEMM               Kl-35                    C162__  Y    /
CD - KODI   QUEST               Kodiak 100               KODI__  Y    /
CD * KP2    JIHLAVAN            KP-2 Skyleader 200       C162__  Y    /
CD * KP5    JIHLAVAN            KP-5 Skyleader 500       C162__  Y    /
CD * KR1    RAND                KR-1                     C340__  Y    /
CD * KR2    RAND                KR-2                     T206__  Y    /
CD * KR30   EKOLOT              KR-030 Topaz             EV97__  Y    /
CD * KT1    KOREA AEROSPACE     KT-1 Woong-Bee           TEX2__  Y    /
CD * KZ2    SAI                 KZ-2 Kupe                EV97__  Y    /
CD * KZ3    SAI                 KZ-3                     SVNH__  Y    /
CD * KZ4    SAI                 KZ-4                     C188__  Y    /
CD * KZ7    SAI                 KZ-7 Laerke              C162__  Y    /
CD * KZ8    SAI                 KZ-8                     C162__  Y    /
CD - L101   LOCKHEED            L-1011 TriStar           L101__  Y    /
CD * L11E   LUSCOMBE            11E                      DA40__  Y    /
CD * L12    LOCKHEED            L-12 Electra Junior      B58T__  Y    /
CD * L13S   AEROTECHNIK         L-13S Vivat              DIMO__  Y    /
CD * L159   AERO                L-159 Albatros 2         HAWK__  Y    /
CD * L181   ASSOCIATED AIR      Liberty 181              T206__  Y    /
CD * L188   LOCKHEED            L-188 Electra            C160__  Y    /
CD * L200   LET                 L-200 Morava             BE76__  Y    /
CD * L29    AERO                L-29 Delfin              L39___  Y    /
CD * L29A   LOCKHEED            L-1329 Jetstar 6/8       CL60__  Y    /
CD * L29B   LOCKHEED            L-1329 Jetstar 2         CL60__  Y    /
CD * L37    LOCKHEED            L-137 Ventura            JS41__  Y    /
CD - L39    AERO                L-39C                    L39___  Y    /
CD * L4     CHAIKA              L-4/42/44                C188__  Y    /
CD * L40    ORLICAN             L-40 Meta Sokol          EV97__  Y    /
CD - L410   LET                 L410 UVP-E20             L410__  Y    /
CD * L5     STINSON             L-5 Sentinel             EV97__  Y    /
CD * L59    AERO                L-59                     L39___  Y    /
CD * L6     AEROVOLGA           L-6                      SVNH__  Y    /
CD * L60    AERO                L-60 Brigadyr            C188__  Y    /
CD * L70    VALMET              L-70 Vinka               DA40__  Y    /
CD * L8     LUSCOMBE            8 Silvaire               EV97__  Y    /
CD * L90    VALMET              L-90TP Redigo            E500__  Y    /
CD * LA25   LAKE                LA-250/270               C172__  Y    /
CD * LA4    LAKE                LA-4                     C172__  Y    /
CD * LA8    AEROVOLGA           LA-8 Flagman             DA40__  Y    /
CD * LAKR   LASER               Akro Z                   TB21__  Y    /
CD * LANC   AVRO                683 Lancaster            F27___  Y    /
CD * LCR    LAIRD               LC-R Speedwing           MAGC__  Y    /
CD * LEG2   LANCAIR             Legacy                   BE36__  Y    /
CD * LESP   LANCAIR             Lancair ES-P             M20T__  Y    /
CD * LGEZ   RUTAN               Long-EZ                  T206__  Y    /
CD * LH10   LH AVIATION         LH-10 Ellipse            C162__  Y    /
CD * LJ23   LEARJET             23                       LJ25__  Y    /
CD * LJ24   LEARJET             24                       LJ25__  Y    /
CD - LJ25   LEARJET             25D                      LJ25__  Y    /
CD * LJ28   LEARJET             28/29                    LJ25__  Y    /
CD * LJ31   LEARJET             31                       LJ45__  Y    /
CD - LJ35   LEARJET             35                       LJ35__  Y    /
CD * LJ40   LEARJET             40                       LJ45__  Y    /
CD - LJ45   LEARJET             45                       LJ45__  Y    /
CD * LJ55   LEARJET             55                       LJ60__  Y    /
CD - LJ60   LEARJET             60XR                     LJ60__  Y    /
CD * LJ70   LEARJET             70                       C650__  Y    /
CD * LJ75   LEARJET             75                       C650__  Y    /
CD * LJ85   LEARJET             85                       FA50__  Y    /
CD * LN3    FLYGFABRIKEN        LN-3 Seagull             C162__  Y    /
CD * LNC2   LANCAIR             Lancair 200/235          TB20__  Y    /
CD * LNC4   LANCAIR             IV-P                     TBM7__  Y    /
CD * LNCE   LANCAIR             Lancair Super ES         SR22__  Y    /
CD * LNP4   LANCAIR             IV PropJet               TBM7__  Y    /
CD * LS10   DG FLUGZEUGBAU      LS-10ST                  SF25__  Y    /
CD * LS8    DG FLUGZEUGBAU      LS-8ST                   SF25__  Y    /
CD * LW20   HOWARD HUGHES       LightWing Speed SP-2000  MAGC__  Y    /
CD * LW40   HOWARD HUGHES       LightWing Speed SP-4000  P28A__  Y    /
CD * LWIN   HOWARD HUGHES       LightWing Sport 2000     SVNH__  Y    /
CD * M10    MOONEY              M-10 Cadet               MAGC__  Y    /
CD * M101   MYASISHCHEV         M-101T                   KODI__  Y    /
CD * M106   LAMBERT             M-106 Mission            SVNH__  Y    /
CD * M108   LAMBERT             M-108 Mission            MAGC__  Y    /
CD * M10F   MOONEY              M-10T                    C172__  Y    /
CD * M10R   MOONEY              M-10J                    C82S__  Y    /
CD * M110   AVIAT               110 Special              E300__  Y    /
CD * M15    PZL-MIELEC          M-15 Belphegor           C188__  Y    /
CD * M17    MYASISHCHEV         M-17 Stratosfera         U2____  Y    /
CD * M18    PZL-MIELEC          M-18 Dromader            T206__  Y    /
CD * M2     KUBICEK             M-2 Scout                C162__  Y    /
CD * M200   MEYERS              200                      BE36__  Y    /
CD - M20P   MOONEY              M20R Ovation 2 GX        M20P__  Y    /
CD - M20T   MOONEY              M20TN Acclaim Type S     M20T__  Y    /
CD * M21    PZL-MIELEC          M-21 Dromader Mini       C188__  Y    /
CD * M212   LAMBERT             M-212 Mission            P28U__  Y    /
CD * M22    MOONEY              M-22 Mustang             PA34__  Y    /
CD * M24    PZL-MIELEC          M-24 Dromader Super      C172__  Y    /
CD * M26    PZL-MIELEC          M-26 Air Wolf            TB20__  Y    /
CD * M28    PZL-MIELEC          M-28                     JS32__  Y    /
CD * M339   AERMACCHI           MB-339                   L39___  Y    /
CD * M345   LEONARDO            M-345                    L39___  Y    /
CD * M346   AERMACCHI           M-346 Master             HAWK__  Y    /
CD * M4     MAULE               M-4                      P28U__  Y    /
CD * M5     MAULE               M-5                      TB21__  Y    /
CD * M55    MYASISHCHEV         M-55 Geophysica          U2____  Y    /
CD * M6     MAULE               M-6 Super Rocket         C82S__  Y    /
CD * M600   PIPER               PA-46-600TP M600         TBM7__  Y    /
CD * M7     MAULE               M-7-235/MT-7/M           TB20__  Y    /
CD * M7T    MAULE               M-7-420 Star Craft       E500__  Y    /
CD * M8     MAULE               M-8                      P28U__  Y    /
CD * MA60   XIAN                MA-60                    F27___  Y    /
CD * MA6H   XIAN                MA-60H                   F27___  Y    /
CD - MAGC   IBIS                Magic GS-700             MAGC__  Y    /
CD * MAGN   AVID                Magnum                   C82S__  Y    /
CD * MAKO   LANCAIR             Mako                     M20T__  Y    /
CD * MC23   IRKUT               MC-21-300                A20N__  Y    /
CD * MC90   MONOCOUPE           90                       EV97__  Y    /
CD * MCR1   DYN'AERO            MCR-01 VLA               C162__  Y    /
CD * MCR4   DYN'AERO            MCR-4                    C162__  Y    /
CD - MD11   MCDONNELL DOUGLAS   MD-11                    MD11__  Y    /
CD * MD3    DATWYLER            MD-3 Swiss Trainer       C172__  Y    /
CD * MD81   MCDONNELL DOUGLAS   MD-81                    MD82__  Y    /
CD - MD82   MCDONNELL DOUGLAS   MD-82                    MD82__  Y    /
CD - MD83   MCDONNELL DOUGLAS   MD-83                    MD83__  Y    /
CD * MD87   MCDONNELL DOUGLAS   MD-87                    MD82__  Y    /
CD * MD88   MCDONNELL DOUGLAS   MD-88                    MD82__  Y    /
CD * MD90   MCDONNELL DOUGLAS   MD-90                    MD83__  Y    /
CD * ME08   MESSERSCHMITT       Bf-108 Taifun            TB20__  Y    /
CD * ME09   MESSERSCHMITT       Bf-109                   P180__  Y    /
CD * METR   GLOSTER             Meteor                   HAWK__  Y    /
CD * MF17   SAAB                MFI-17 Supporter         P06T__  Y    /
CD * MG15   MIKOYAN             MiG 15                   L39___  Y    /
CD * MG21   MIKOYAN             MiG 21                   F16___  Y    /
CD * MG23   MIKOYAN             MiG 23                   F16___  Y    /
CD * MG25   MIKOYAN             MiG 25                   F15___  Y    /
CD * MG29   MIKOYAN             MiG 29                   F16___  Y    /
CD * MG31   MIKOYAN             MiG 31                   F15___  Y    /
CD * MICO   MICROJET            Microjet 200B            SF50__  Y    /
CD * MIMU   MUSTANG             MM-1 Midget Mustang      P28R__  Y    /
CD * MIR2   DASSAULT            Mirage 2000              F16___  Y    /
CD * MIR4   DASSAULT            Mirage IV                F15___  N    /
CD * MIRA   DASSAULT            Mirage 3                 F16___  Y    /
CD * MJ10   JURCA               MJ-10 Spit               C162__  Y    /
CD * MJ5    JURCA               MJ-5 Sirocco             EV97__  Y    /
CD * MOR2   MORRISEY            2150                     T206__  Y    /
CD * MP20   PLAN                MP-205 Busard            EV97__  Y    /
CD * MRF1   DASSAULT            Mirage F1                F16___  Y    /
CD * MRJ7   MITSUBISHI          MRJ-70                   A148__  Y    /
CD * MRJ9   MITSUBISHI          MRJ-90                   A148__  Y    /
CD * MRMD   CZAW                Mermaid                  MAGC__  Y    /
CD * MS18   SOCATA              MS-200FG Morane          DA40__  Y    /
CD * MS25   SOCATA              MS-200RG Morane          TB21__  Y    /
CD * MS30   SOCATA              MS-300 Epsilon 2         TB20__  Y    /
CD * MS76   MORANE-SAULNIER     MS-760 Paris             L39___  Y    /
CD - MU2    MITSUBISHI          MU-2B-60                 MU2___  Y    /
CD * MU23   AKAFLIEG MUNCHEN    Mü-23 Saurier            DIMO__  Y    /
CD * MU30   MITSUBISHI          MU-300 Diamond           BE40__  Y    /
CD * MUS2   BUSHBY              Mustang 2                TB21__  Y    /
CD * MX10   AEROTEC             MXP-100 Aventura         SVNH__  Y    /
CD * MX1T   AEROANDINA          MXP-1000 Tayrona         MAGC__  Y    /
CD * MX65   AEROTEC             MXP-650 Amigo            C162__  Y    /
CD * MX80   AEROTEC             MXP-800 Fantasy          MAGC__  Y    /
CD * N262   AEROSPATIALE        N-262                    JS41__  Y    /
CD * N3     NOSTALGAIR          N-3 Super Pup            SVNH__  Y    /
CD * NAVI   RYAN                Navion                   DA40__  Y    /
CD * NG4    ROKO AERO           NG-4 Prodigy IV          C162__  Y    /
CD * NG5    BRM AERO            NG-5 Bristell            C162__  Y    /
CD * NIM    HAWKER SIDDELEY     Nimrod                   B738__  N    /
CD * NIMB   SCHEMPP-HIRTH       Nimbus 4DM               DIMO__  Y    /
CD * NM5    NAL                 NM-5                     M20P__  Y    /
CD * NNJA   BEST OFF            Nynja                    MAGC__  Y    /
CD * NOMA   GAF                 Nomad                    C208__  Y    /
CD * NORS   NOORDUYN            Norseman                 DA40__  Y    /
CD * O1     CESSNA              O-1 Bird Dog             C182__  Y    /
CD * ONE    C2P                 ONE                      C162__  Y    /
CD * ONEX   SONEX               Onex                     EV97__  Y    /
CD * OSCR   PARTENAVIA          Oscar                    C182__  Y    /
CD - P06T   TECNAM              P2006T                   P06T__  Y    /
CD * P1     KAWASAKI            P-1                      B38M__  Y    /
CD * P100   POTTIER             P-100                    MAGC__  Y    /
CD * P149   PIAGGIO             P-149                    C82S__  Y    /
CD - P180   PIAGGIO             P.180 Avanti II          P180__  Y    /
CD - P1HH   PIAGGIO             P.1HH Hammerhead         P1HH__  Y    /
CD * P2     LOCKHEED            P-2 Neptune              F27___  Y    /
CD * P208   TECNAM              P-2008                   C162__  Y    /
CD * P210   CESSNA              P210 Pressurized         PA46__  Y    /
CD * P212   TECNAM              P-2012 Traveller         C421__  Y    /
CD - P28A   PIPER               PA-28-161                P28A__  Y    /
CD * P28B   PIPER               PA-28-236 Dakota         C182__  Y    /
CD - P28R   PIPER               PA-28R-201               P28R__  Y    /
CD * P28S   PIPER               PA-28R-201T Turbo Arrow  P28U__  Y    /
CD - P28T   PIPER               PA-28RT-201              P28T__  Y    /
CD - P28U   PIPER               PA-28RT-201T             P28U__  Y    /
CD * P3     LOCKHEED            P-3 Orion                AN12__  Y    /
CD * P32R   PIPER               PA-32R-301T Turbo Sarato TB20__  Y    /
CD * P32T   PIPER               PA-32RT-300T Turbo Lance TB20__  Y    /
CD * P337   CESSNA              P337 Pressur. Skymaster  BE76__  Y    /
CD * P38    LOCKHEED            P-38 Lightning           SBR1__  Y    /
CD * P39    BELL                P-39 Airacobra           PAY3__  Y    /
CD * P40    CURTISS             P-40 Warhawk             BE9L__  Y    /
CD - P46T   PIPER               PA-46-500TP              P46T__  Y    /
CD * P50    POTTIER             P-50 Bouvreuil           EV97__  Y    /
CD * P51    NORTH AMERICAN      P-51 Mustang             P180__  Y    /
CD * P60    POTTIER             P-60 Minacro             MAGC__  Y    /
CD * P61    NORTHROP            P-61 Black Widow         D328__  Y    /
CD * P63    BELL                P-63 Kingcobra           HDJT__  Y    /
CD * P66P   PIAGGIO             P-166B Portofino         C414__  Y    /
CD * P66T   PIAGGIO             P-166DL3                 C208__  Y    /
CD * P68    PARTENAVIA          P-68 Observer            BE76__  Y    /
CD * P68T   PARTENAVIA          AP-68TP-300 Spartacus    E500__  Y    /
CD * P70    POTTIER             P-70                     SVNH__  Y    /
CD - P750   PAC                 750XL                    P750__  Y    /
CD * P8     BOEING              P-8 Poseidon             B738__  Y    /
CD * P80    POTTIER             P-80                     SVNH__  Y    /
CD * P82    NORTH AMERICAN      F-82 Twin Mustang        A10___  Y    /
CD * PA11   PIPER               PA-11 Cub Special        EV97__  Y    /
CD * PA12   PIPER               PA-12 Super Cruiser      P28A__  Y    /
CD * PA14   PIPER               PA-14 Family Cruiser     MAGC__  Y    /
CD * PA15   PIPER               PA-15 Vagabond           SVNH__  Y    /
CD * PA16   PIPER               PA-16 Clipper            MAGC__  Y    /
CD * PA17   PIPER               PA-17 Vagabond           SVNH__  Y    /
CD * PA18   PIPER               PA-18 Super Cub          C182__  Y    /
CD * PA20   PIPER               PA-20 Pacer              EV97__  Y    /
CD * PA22   PIPER               PA-22 Tri-Pacer          DA40__  Y    /
CD * PA23   PIPER               PA-23-160 Apache         C182__  Y    /
CD * PA24   PIPER               PA-24 Comanche           M20T__  Y    /
CD * PA25   PIPER               PA-25 Pawnee             SVNH__  Y    /
CD - PA27   PIPER               PA-23-250 Aztec D        PA27__  Y    /
CD * PA30   PIPER               PA-30 Turbo Twin Comanch C402__  Y    /
CD - PA31   PIPER               PA-31 Navajo C           PA31__  Y    /
CD * PA32   PIPER               PA-32-301T Turbo Saratog P28U__  Y    /
CD - PA34   PIPER               PA-34-220T               PA34__  Y    /
CD * PA36   PIPER               PA-36 Pawnee Brave       P28A__  Y    /
CD * PA38   PIPER               PA-38 Tomahawk           C162__  Y    /
CD - PA44   PIPER               PA-44-180 Seminole       PA44__  Y    /
CD - PA46   PIPER               PA-46-350P               PA46__  Y    /
CD * PA47   PIPER               PA-47                    C510__  Y    /
CD * PACE   BELLANCA            CH-300/400 Pacemaker/Sky C82S__  Y    /
CD * PAT4   PIPER               PA-31T-3 T-1040          PAY1__  Y    /
CD - PAY1   PIPER               PA-31T1 Cheyenne IA      PAY1__  Y    /
CD - PAY2   PIPER               PA-31T2 Cheyenne 2XL     PAY2__  Y    /
CD - PAY3   PIPER               PA-42 Cheyenne III       PAY3__  Y    /
CD * PAY4   PIPER               PA-42-1000 Cheyenne 400  P180__  Y    /
CD - PC12   PILATUS             PC-12/45                 PC12__  Y    /
CD * PC21   PILATUS             PC-21                    TEX2__  Y    /
CD * PC24   PILATUS             PC-24                    C560__  Y    /
CD * PC6P   PILATUS             PC-6 Porter              DA42__  Y    /
CD * PC6T   PILATUS             PC-6C Turbo-Porter       KODI__  Y    /
CD * PC7    PILATUS             PC-7 Turbo Trainer       TEX2__  Y    /
CD * PC9    PILATUS             PC-9                     TEX2__  Y    /
CD * PELI   ULTRAVIA            Pelican                  EV97__  Y    /
CD * PETL   AERO ITBA           Petrel                   EV97__  Y    /
CD * PETR   EDRA                Super Petrel             MAGC__  Y    /
CD * PIAE   PIPISTREL           Alpha Electro            EV97__  Y    /
CD * PIAT   PIPISTREL           Alpha Trainer            C182__  Y    /
CD * PICO   PROCAER             F-15 Picchio             DA40__  Y    /
CD * PINO   GENERAL AVIA        F.22 Pinguino            TB20__  Y    /
CD * PIPA   PIPISTREL           Panthera                 M20T__  Y    /
CD * PISI   PIPISTREL           Sinus                    DIMO__  Y    /
CD * PIT4   PIPISTREL           Taurus Electro G4        P28A__  Y    /
CD * PITA   PIPISTREL           Taurus 503               SF25__  Y    /
CD * PITE   PIPISTREL           Taurus Electro           SF25__  Y    /
CD * PIVI   PIPISTREL           Virus                    EV97__  Y    /
CD * PL12   TRANSAVIA           PL-12 Airtruk            T206__  Y    /
CD * PL2    PAZMANY             PL-2                     MAGC__  Y    /
CD * PL4    PAZMANY             PL-4                     EV97__  Y    /
CD * PNR2   ALPI                Pioneer 200              EV97__  Y    /
CD * PNR3   ALPI                Pioneer 300              P28U__  Y    /
CD * PNR4   ALPI                Pioneer 400              C82S__  Y    /
CD * PO2    POLIKARPOV          Po-2                     SVNH__  Y    /
CD * PO60   POTEZ               60 Sauterelle            MAGC__  Y    /
CD * PP3    PILATUS             P-3                      C182__  Y    /
CD * PREN   PERCIVAL            P-40 Prentice            C182__  Y    /
CD * PRIM   BLACKSHAPE          Bk-100 Prime             C162__  Y    /
CD - PRM1   HAWKER BEECHCRAFT   Premier IA               PRM1__  Y    /
CD * PROC   PERCIVAL            P-28/30/31/34/44 Proctor C172__  Y    /
CD * PROT   CZAW                Parrot                   MAGC__  Y    /
CD * PRXT   PRIVATE EXPLORER    T-Explorer               KODI__  Y    /
CD * PT22   RYAN                PT-22 Recruit            EV97__  Y    /
CD * PT70   POTTIER             P-170                    SVNH__  Y    /
CD * PT80   POTTIER             P-180                    SVNH__  Y    /
CD * PTMS   PITTS               S-12 Macho Stinker       E300__  Y    /
CD * PTS1   PITTS               S-1 Special              P28R__  Y    /
CD * PTS2   PITTS               S-2 Special              EV97__  Y    /
CD * PTSS   PITTS               S-1-11 Super Stinker     E300__  Y    /
CD * PULR   P&M AVIATION        PulsR                    SVNH__  Y    /
CD * PULS   AERO DESIGNS        Pulsar                   EV97__  Y    /
CD * PUP    BEAGLE              B-121 Pup                C162__  Y    /
CD * PZ01   PZL-OKECIE          PZL-101 Gawron           SVNH__  Y    /
CD * PZ04   PZL-OKECIE          PZL-104 Wilga 35/80      C172__  Y    /
CD * PZ06   PZL-OKECIE          PZL-106BR Kruk           C188__  Y    /
CD * PZ12   PZL-OKECIE          PZL-112 Junior           C162__  Y    /
CD * PZ3T   PZL-OKECIE          PZL-130TC-1              PAY3__  Y    /
CD * PZ4M   PZL-OKECIE          PZL-104M Wilga 2000      P28A__  Y    /
CD * PZ6T   PZL-OKECIE          PZL-106BT Turbo Kruk     C188__  Y    /
CD * Q01    REINER STEMME       Q-01                     C402__  Y    /
CD * Q1     GENERAL ATOMICS     MQ-1 Predator            SF25__  Y    /
CD - Q2     AAI                 RQ-2A Pioneer            Q2____  N    /
CD - Q4     NORTHROP GRUMMAN    RQ-4A Global Hawk        Q4____  Y    /
CD - Q9     GENERAL ATOMICS     MQ-9A Reaper             Q9____  Y    /
CD * R100   ROBIN               R-1180T                  DA40__  Y    /
CD * R109   RIHN                DR-109 Rhino             E300__  Y    /
CD * R11    RUPERT              R-11                     SVNH__  Y    /
CD * R135   BOEING              RC-135                   B703__  Y    /
CD * R200   ROBIN               R-2160 Alpha Sport       C162__  Y    /
CD * R300   ROBIN               R-300                    C172__  Y    /
CD * R721   BOEING              727-100                  MD83__  Y    /
CD * R722   BOEING              727-200RE Super 27       B722__  Y    /
CD * R90F   RUSCHMEYER          R-90-230FG               DA40__  Y    /
CD * R90R   RUSCHMEYER          R-90-230RG               DA40__  Y    /
CD * R90T   RUSCHMEYER          R-90-420AT               E500__  Y    /
CD * RALL   MORANE-SAULNIER     Rallye Commodore         P28A__  Y    /
CD * RANG   NAVION              Rangemaster              TB21__  Y    /
CD * RAV5   RAVIN               Ravin 500                BE36__  Y    /
CD * RBEL   MURPHY              Rebel                    MAGC__  Y    /
CD * RC3    REPUBLIC            RC-3 Seabee              MAGC__  Y    /
CD * RC70   ROCKWELL            Commander 700            PA31__  Y    /
CD * RD20   DENIZE              RD-20 Raid Driver        E300__  Y    /
CD * RENE   MURPHY              Renegade                 SVNH__  Y    /
CD * RF10   FOURNIER            RF-10                    DIMO__  Y    /
CD * RF3    FOURNIER            RF-3                     C182__  Y    /
CD * RF4    FOURNIER            RF-4                     C182__  Y    /
CD * RF5    FOURNIER            RF-5                     DIMO__  Y    /
CD * RF6    FOURNIER            RF-6                     C162__  Y    /
CD * RFAL   DASSAULT            Rafale                   F16___  Y    /
CD - RJ1H   AVRO                RJ100                    RJ1H__  Y    /
CD * RJ70   AVRO                RJ70                     RJ85__  Y    /
CD - RJ85   AVRO                RJ85                     RJ85__  Y    /
CD * RODS   RIHN                DR-107 One Design        TB21__  Y    /
CD * RS18   SPORTAVIA-PUTZER    RS-180 Sportsman         C182__  Y    /
CD * RS20   RANS                S-20 Raven               SVNH__  Y    /
CD * RV10   VAN'S               RV-10                    TB20__  Y    /
CD * RV12   VAN'S               RV-12                    C162__  Y    /
CD * RV14   VAN'S               RV-14                    P28T__  Y    /
CD * RV3    VAN'S               RV-3                     TB21__  Y    /
CD * RV4    VAN'S               RV-4                     P28T__  Y    /
CD * RV6    VAN'S               RV-6                     E300__  Y    /
CD * RV7    VAN'S               RV-7                     TB21__  Y    /
CD * RV8    VAN'S               RV-8                     TB21__  Y    /
CD * RV9    VAN'S               RV-9                     P28T__  Y    /
CD * RYSA   TECHNOAVIA          Rysachok                 L410__  Y    /
CD * S05F   SIAI-MARCHETTI      S-205-20F                DA40__  Y    /
CD * S05R   SIAI-MARCHETTI      S-205-20R                C182__  Y    /
CD * S1     ARCTIC              S-1 Arctic Tern          C182__  Y    /
CD * S10    STINSON             105/10 Voyager           MAGC__  Y    /
CD * S108   STINSON             108 Voyager              EV97__  Y    /
CD * S10S   STEMME              S-10 Chrysalis           DIMO__  Y    /
CD * S12    SPENCER             S-12 Air Car             C172__  Y    /
CD * S122   SKYLINE             SL-122 Pchelka           MAGC__  Y    /
CD * S12S   STEMME              S-12 Twin Voyager        DIMO__  Y    /
CD * S15S   STEMME              S-15                     DIMO__  Y    /
CD * S15U   STEMME              S-15 Patroller           DIMO__  Y    /
CD * S200   SIPA                S-200 Minijet            EA50__  Y    /
CD * S208   SIAI-MARCHETTI      S-208                    C182__  Y    /
CD * S210   SUD                 SE-210 Caravelle         E290__  Y    /
CD * S211   SIAI-MARCHETTI      S-211                    L39___  Y    /
CD * S223   SIAT                223 Flamingo             P28A__  Y    /
CD - S22T   CIRRUS              SR22T                    S22T__  Y    /
CD - S2P    GRUMMAN             S-2D Tracker             S2P___  Y    /
CD * S2T    GRUMMAN             S-2 Turbo Tracker        JS41__  Y    /
CD * S3     LOCKHEED            S-3 Viking               A10___  Y    /
CD * S32E   SCHLEICHER          ASG-32EL                 DIMO__  Y    /
CD * S32M   SCHLEICHER          ASG-32Mi                 DIMO__  Y    /
CD * S38    SIKORSKY            S-38 Replica             C188__  Y    /
CD * S450   AERO-EAST-EUROPE    SILA-450                 EV97__  Y    /
CD * S6     STEMME              S-6                      DIMO__  Y    /
CD * S601   AEROSPATIALE        SN-601 Corvette          C525__  Y    /
CD * SA02   K&S                 SA-102.5 Cavalier        C162__  Y    /
CD * SA20   BERIEV              SA-20                    C188__  Y    /
CD * SA30   STOLP               SA-300 Starduster Too    TB21__  Y    /
CD * SA37   SCHWEIZER           SA-2-37 Condor           DIMO__  Y    /
CD * SA50   STOLP               SA-500 Starlet           EV97__  Y    /
CD * SAM    SAM AIRCRAFT        Sam                      C162__  Y    /
CD * SASH   SHARK AIRCRAFT      Shark                    T206__  Y    /
CD * SASP   SUPERMARINE AIRCRAF Spitfire Mk26            P28T__  Y    /
CD * SATA   HISPANO             HA-220 Super Saeta       L39___  Y    /
CD * SAVA   SADLER              Vampire                  MAGC__  Y    /
CD * SAVG   ZLIN AVIATION       Savage                   EV97__  Y    /
CD * SB05   SAAB                105                      L39___  Y    /
CD - SB20   SAAB                2000                     SB20__  Y    /
CD * SB29   SAAB                29                       AJET__  Y    /
CD * SB32   SAAB                32 Lansen                AJET__  Y    /
CD * SB35   SAAB                35 Draken                F16___  Y    /
CD * SB37   SAAB                37 Viggen                F16___  Y    /
CD * SB39   SAAB                39 Gripen                F16___  Y    /
CD * SB7    SEABIRD             SB-7 Seeker              C162__  Y    /
CD * SB91   SAAB                91 Safir                 P28U__  Y    /
CD - SBR1   ROCKWELL            CT-39G Sabreliner        SBR1__  Y    /
CD * SBR2   ROCKWELL            Sabre 75/80              SBR1__  Y    /
CD * SC01   GYROFLUG            SC-01 Speed Canard       P28R__  Y    /
CD * SC7    SHORT               SC-7 Skyvan              D228__  Y    /
CD * SD4    TOMARK              SD-4 Viper               EV97__  Y    /
CD * SEAW   SEAWIND             Seawind                  C182__  Y    /
CD * SF2    VIKING              SF-2 Cygnet              SVNH__  Y    /
CD * SF23   SCHEIBE             SF-23 Sperling           EV97__  Y    /
CD * SF24   SCHEIBE             SF-24 Motorspatz         SF25__  Y    /
CD - SF25   SCHEIBE             SF-25B Falke             SF25__  Y    /
CD * SF27   SCHEIBE             SF-27M                   SF25__  Y    /
CD * SF28   SCHEIBE             SF-28 Tandem Falke       DIMO__  Y    /
CD * SF31   SPORTAVIA-PUTZER    SFS-31 Milan             DIMO__  Y    /
CD - SF34   SAAB                SF 340B                  SF34__  Y    /
CD * SF36   SCHEIBE             SF-36                    DIMO__  Y    /
CD - SF50   CIRRUS              SF50 Vision              SF50__  Y    /
CD * SG37   SCHWEIZER           SGM-2-37                 DIMO__  Y    /
CD * SG70   GLASS               SG-70 STOLGlass          EV97__  Y    /
CD * SGRA   SG AVIATION         Rally                    MAGC__  Y    /
CD * SGUP   AERO SPACELINES     377SGT Super Guppy       C160__  Y    /
CD * SH33   SHORT               330                      SH36__  Y    /
CD - SH36   SHORT               SD3-60                   SH36__  Y    /
CD * SHOP   SALVAY-STARK        Skyhopper                EV97__  Y    /
CD * SHRK   SHARK AERO          Shark                    C162__  Y    /
CD * SIRA   TECNAM              P-2002 Sierra            C162__  Y    /
CD * SJ30   SINO SWEARINGEN     SJ-30                    LJ25__  Y    /
CD * SK70   STARKRAFT           SK-700                   C421__  Y    /
CD * SKAR   III                 Sky Arrow                C162__  Y    /
CD * SKRA   BEST OFF            Sky Ranger               SVNH__  Y    /
CD * SKYR   REARWIN             Skyranger                SVNH__  Y    /
CD * SLCH   SCALED              351 Stratolaunch         A388__  Y    /
CD * SLG2   AIRPLANE FACTORY    Sling 2 Turbo            C162__  Y    /
CD * SLG4   AIRPLANE FACTORY    Sling 4                  C162__  Y    /
CD * SLK3   SLICK               360                      E300__  Y    /
CD * SLK5   SLICK               540                      E300__  Y    /
CD * SM19   SIAI-MARCHETTI      SM-1019                  E500__  Y    /
CD * SM20   TECHNOAVIA          SM-2000                  E500__  Y    /
CD * SM92   TECHNOAVIA          SM-92 Finist             P28A__  Y    /
